X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
3.75E+00,2.14E+00,-3.48E+00,-1.48E+00,4.35E+00,4.32E-01,-5.07E-01,-4.55E-01,9.65E-01,2.12E+00,-3.50E+00,4.29E-16,0.00E+00
3.75E+00,1.43E+00,-3.91E+00,-3.12E-01,4.64E+00,5.91E-01,-3.88E+00,-5.97E-01,2.54E+00,1.06E+00,-2.78E-01,3.40E-17,0.00E+00
3.75E+00,1.43E+00,-3.91E+00,-4.70E+00,4.64E+00,7.34E-01,-3.98E+00,-5.97E-01,1.99E+00,1.06E+00,-5.00E-01,6.12E-17,0.00E+00
4.38E+00,2.86E+00,-3.48E+00,-1.48E+00,4.71E+00,5.55E-01,-4.08E-01,-8.02E-01,9.81E-01,4.82E+00,-2.00E+00,-1.56E-01,1.91E-17
4.38E+00,2.86E+00,-3.48E+00,-2.96E+00,4.55E+00,8.65E-01,-5.53E-01,-8.56E-01,1.48E+00,4.94E+00,-7.78E-01,9.53E-17,0.00E+00
4.38E+00,2.86E+00,-1.10E+00,-2.96E+00,4.75E+00,1.45E+00,-2.82E+00,-1.31E+00,3.22E+00,8.24E-01,-2.78E+00,3.40E-16,0.00E+00
4.38E+00,2.86E+00,-1.10E+00,-2.95E+00,4.75E+00,1.51E+00,-2.86E+00,-7.58E-01,3.52E+00,7.06E-01,-1.50E+00,1.84E-16,0.00E+00
4.38E+00,2.86E+00,-1.10E+00,-2.95E+00,4.70E+00,2.49E+00,-3.52E+00,-9.54E-01,9.32E-01,4.18E+00,-1.00E+00,1.22E-16,0.00E+00
4.38E+00,2.86E+00,-3.05E+00,-3.12E-01,4.66E+00,2.21E+00,-4.01E+00,-6.24E-01,1.75E+00,2.82E+00,-2.78E+00,3.40E-16,0.00E+00
3.75E+00,2.14E+00,-3.05E+00,-4.70E+00,4.76E+00,1.50E+00,-4.05E+00,-6.33E-01,3.31E+00,1.47E+00,-2.00E+00,2.45E-16,0.00E+00
3.75E+00,2.14E+00,-3.05E+00,-4.70E+00,4.76E+00,1.50E+00,-4.05E+00,-6.33E-01,2.51E+00,2.12E+00,-3.78E+00,4.63E-16,0.00E+00
3.75E+00,2.14E+00,-3.05E+00,-4.70E+00,4.78E+00,1.24E+00,-4.13E+00,-2.01E+00,2.75E+00,1.35E+00,-2.00E+00,2.45E-16,0.00E+00
3.13E+00,2.14E+00,-1.10E+00,-1.48E+00,2.89E+00,1.20E+00,-3.85E+00,-7.13E-02,2.38E+00,3.35E+00,-3.50E+00,4.29E-16,0.00E+00
3.13E+00,2.14E+00,-3.05E+00,-2.95E+00,4.66E+00,2.16E+00,-3.98E+00,-6.24E-01,3.07E+00,1.59E+00,-1.00E+00,1.22E-16,0.00E+00
